GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G3600010000100,36,1,100,125,117,242,0.5165289
G3600010000200,36,1,200,153,148,301,0.50830567
G3600010000300,36,1,300,92,189,281,0.32740214
G3600010000401,36,1,401,0,92,92,0
G3600010000403,36,1,403,20,180,200,0.1
G3600010000404,36,1,404,0,0,0,-99
G3600010000501,36,1,501,64,234,298,0.2147651
G3600010000502,36,1,502,13,42,55,0.23636363
G3600010000600,36,1,600,113,165,278,0.40647483
G3600010000700,36,1,700,152,207,359,0.42339832
G3600010000800,36,1,800,145,43,188,0.77127659
G3600010001100,36,1,1100,6,37,43,0.13953489
G3600010001400,36,1,1400,40,40,80,0.5
G3600010001500,36,1,1500,30,85,115,0.26086956
G3600010001600,36,1,1600,45,105,150,0.30000001
G3600010001700,36,1,1700,62,280,342,0.18128654
G3600010001801,36,1,1801,0,414,414,0
G3600010001802,36,1,1802,11,179,190,0.057894737
G3600010001901,36,1,1901,17,136,153,0.11111111
G3600010001902,36,1,1902,0,190,190,0
G3600010002000,36,1,2000,173,398,571,0.30297723
G3600010002100,36,1,2100,121,86,207,0.58454108
G3600010002200,36,1,2200,33,54,87,0.37931034
G3600010002300,36,1,2300,35,43,78,0.44871795
G3600010002500,36,1,2500,126,79,205,0.61463416
G3600010002600,36,1,2600,284,426,710,0.40000001
G3600010012700,36,1,12700,6,79,85,0.070588239
G3600010012800,36,1,12800,199,174,373,0.53351206
G3600010012900,36,1,12900,73,223,296,0.24662162
G3600010013000,36,1,13000,26,324,350,0.074285716
G3600010013100,36,1,13100,14,219,233,0.060085837
G3600010013200,36,1,13200,115,242,357,0.32212886
G3600010013300,36,1,13300,46,368,414,0.11111111
G3600010013400,36,1,13400,60,132,192,0.3125
G3600010013503,36,1,13503,58,493,551,0.10526316
G3600010013505,36,1,13505,29,181,210,0.13809524
G3600010013506,36,1,13506,104,438,542,0.19188192
G3600010013507,36,1,13507,78,152,230,0.33913043
G3600010013508,36,1,13508,72,585,657,0.10958904
G3600010013601,36,1,13601,82,610,692,0.11849711
G3600010013602,36,1,13602,26,281,307,0.084690556
G3600010013703,36,1,13703,26,116,142,0.18309858
G3600010013705,36,1,13705,24,376,400,0.059999999
G3600010013706,36,1,13706,13,208,221,0.05882353
G3600010013707,36,1,13707,23,487,510,0.04509804
G3600010013801,36,1,13801,14,659,673,0.020802377
G3600010013802,36,1,13802,18,488,506,0.035573121
G3600010013901,36,1,13901,44,172,216,0.2037037
G3600010013902,36,1,13902,67,316,383,0.17493473
G3600010014001,36,1,14001,10,255,265,0.03773585
G3600010014002,36,1,14002,41,262,303,0.13531353
G3600010014100,36,1,14100,0,494,494,0
G3600010014201,36,1,14201,63,664,727,0.086657494
G3600010014202,36,1,14202,0,545,545,0
G3600010014203,36,1,14203,0,517,517,0
G3600010014301,36,1,14301,32,204,236,0.13559322
G3600010014302,36,1,14302,0,896,896,0
G3600010014401,36,1,14401,30,304,334,0.089820363
G3600010014402,36,1,14402,19,304,323,0.05882353
G3600010014501,36,1,14501,0,197,197,0
G3600010014502,36,1,14502,36,330,366,0.098360658
G3600010014503,36,1,14503,12,250,262,0.045801528
G3600010014606,36,1,14606,21,374,395,0.053164557
G3600010014607,36,1,14607,13,939,952,0.013655462
G3600010014608,36,1,14608,0,193,193,0
G3600010014609,36,1,14609,43,331,374,0.11497326
G3600010014611,36,1,14611,16,205,221,0.072398193
G3600010014612,36,1,14612,8,139,147,0.054421768
G3600010014613,36,1,14613,3,250,253,0.011857707
G3600010014614,36,1,14614,66,550,616,0.10714286
G3600010014615,36,1,14615,18,141,159,0.11320755
G3600010014700,36,1,14700,15,258,273,0.054945055
G3600010014801,36,1,14801,40,232,272,0.14705883
G3600010014802,36,1,14802,38,111,149,0.25503355
G3600010014803,36,1,14803,0,294,294,0
G3600030940200,36,3,940200,0,0,0,-99
G3600030950100,36,3,950100,56,223,279,0.20071685
G3600030950300,36,3,950300,85,241,326,0.2607362
G3600030950400,36,3,950400,69,299,368,0.1875
G3600030950500,36,3,950500,28,256,284,0.098591551
