stabbr,adjrevdiff_all,adjrevdiff_fe,adjrevdiff_lo,adjrevdiff_st,unadjrevdiff_all,unadjrevdiff_fe,unadjrevdiff_lo,unadjrevdiff_st
"AK",3567.539,1431.083,-555.5842,2692.041,2988.035,1291.864,-592.4885,2288.66
"AL",88.43652,200.1909,-218.0969,106.3428,25.1875,174.0613,-212.5059,63.63184
"AR",298.2793,184.4296,-149.3838,263.2339,83.82227,141.7202,-198.3596,140.4614
"AZ",303.5068,438.6532,-347.1396,211.9929,213.3027,390.7057,-351.0562,173.6523
"CA",296.4795,194.2767,-683.2634,785.4668,106.7031,197.2789,-862.6064,772.0303
"CO",401.1484,230.5007,-104.5,275.1484,291.4297,214.2034,-131.0283,208.2539
"CT",427.3867,459.1127,-3024.551,2992.824,182.9238,483.7346,-3465.107,3164.297
"DE",550.7471,133.5402,-15.28076,432.4873,340.6719,117.519,-73.08838,296.2422
"FL",27.63867,47.27917,-51.68408,32.04346,8.954102,40.72424,-50.70898,18.93921
"GA",498.707,217.1564,70.55957,210.9902,272.9727,194.7125,-21.55078,99.81104
"IA",56.61426,145.8727,-373.6885,284.4297,-9.878906,131.5339,-368.3848,226.9727
"ID",60.21191,92.23645,-99.96777,67.94336,23.21094,74.47052,-89.94128,38.68213
"IL",-460.9355,420.5914,-1443.188,561.6626,-519.6416,421.9837,-1486.371,544.7456
"IN",521.4092,269.3841,-155.104,407.1289,501.7988,269.1656,-163.5322,396.1646
"KS",350.2578,277.7621,-540.1255,612.6221,194.3418,222.1153,-484.2913,456.5171
"KY",366.6992,219.8257,-357.6326,504.5059,150.0127,175.5947,-375.5525,349.9702
"LA",591.9824,247.3944,242.0811,102.5078,425.0947,214.4352,177.8779,32.78174
"MA",921.3926,406.6241,-1339.417,1854.184,1061.572,441.665,-1337.278,1957.184
"MD",330.6523,254.4419,-1097.421,1173.631,46.37012,259.1845,-1350.086,1137.271
"ME",140.2695,185.8638,-614.3467,568.7534,-32.37695,150.7062,-611.7842,428.7012
"MI",580.5781,599.5451,-91.29053,72.32422,515.1133,564.6566,-98.24146,48.69873
"MN",912.4971,295.3348,12.72363,604.4385,826.1797,285.1517,-2.342285,543.3701
"MO",298.125,380.5808,-485.126,402.6699,-55.87305,298.0579,-582.8696,228.9387
"MS",304.832,288.8831,-72.84546,88.79492,212.5645,251.15,-89.86084,51.27539
"MT",284.5986,663.3707,-396.9297,18.15723,224.6836,542.6556,-327.0469,9.074707
"NC",251.7861,143.0284,-175.802,284.5591,56.1582,101.6248,-191.5408,146.0742
"ND",433.5527,798.9503,-482.7734,117.377,300.4258,662.6255,-421.4365,59.2373
"NE",423.4697,317.3379,-199.0645,305.1958,316.9004,265.7035,-181.5161,232.7134
"NH",142.1445,218.6646,-663.8145,587.2939,52.44336,197.9055,-659.79,514.3286
"NJ",1913.742,460.6524,-3459.941,4913.031,2114.303,521.2859,-3993.099,5586.115
"NM",325.7266,344.5848,-154.3425,135.4844,177.1504,286.8546,-156.2499,46.54541
"NV",-68.625,-.7201538,-56.4541,-11.45142,-25.99219,2.653992,-30.29736,1.651611
"NY",42.54883,443.3322,-1538.66,1137.876,230.9336,457.1176,-1430.91,1204.728
"OH",1604.688,489.9796,-600.0825,1714.79,1386.414,437.895,-563.8071,1512.326
"OK",323.4258,218.9133,-190.0498,294.563,233.4395,185.2314,-177.4656,225.6738
"OR",138.5752,109.1053,-314.7295,344.1987,-14.71191,89.05505,-351.5488,247.7822
"PA",488.1133,445.9506,-1672.066,1714.229,426.5059,438.4976,-1694.692,1682.702
"RI",220.7891,523.2964,-2428.364,2125.855,225.4258,534.2856,-2479.36,2170.499
"SC",170.1357,143.9016,-7.996094,34.22998,39.23145,113.7501,-51.74121,-22.77734
"SD",1118.029,1366.359,-693.8608,445.5305,733.1104,1008.91,-573.5112,297.7124
"TN",167.9473,109.9299,-5.337891,63.35547,133.9814,96.60938,-1.137695,38.50928
"TX",220.293,292.9825,-729.8218,657.1323,37.90137,267.1602,-770.6309,541.373
"UT",309.9229,126.5843,137.9419,45.39648,238.4404,109.6772,113.6252,15.13818
"VA",450.3545,274.982,-570.2822,745.6553,-330.2627,208.2721,-955.4331,416.8975
"VT",122.2051,114.6485,-36.52686,44.08203,-21.63281,99.10614,-41.76453,-78.97461
"WA",326.666,208.1558,-319.5632,438.0737,91.58984,199.4014,-403.3342,295.5229
"WI",456.7334,397.4472,-607.1392,666.4258,532.3428,414.4893,-607.2485,725.1025
"WV",57.61719,103.3291,-183.542,137.8291,-36.12012,76.70056,-177.4807,64.66016
"WY",-131.3809,208.6039,-964.0869,624.1035,-109.5293,177.2366,-818.0405,531.2744
